cx,cy,mean_suitability,site_count,cell_area_km2,predicted_count,residual,residual_density,dist_to_volcano_km,nearest_volcano
666670.9810175432,9125064.215247393,0.6013162301899706,23,625.7556221363965,3.030039107296661,19.96996089270334,31.9133543291609,21.459101892974275,Arjuno-Welirang
691655.4331258535,9125064.215247393,0.7768974554148433,14,625.7556221363965,3.9147948351943596,10.08520516480564,16.116843074255847,23.558255272968296,Bromo
716639.885234164,9125064.215247393,0.4184565440236259,1,625.7556221363936,2.1086071345441986,-1.1086071345441986,-1.7716295232942543,3.842833992705583,Bromo
730373.6699513702,9125064.215247393,0.6554789470912643,0,62.882305165669244,3.302965634352999,-3.302965634352999,-52.52615383057333,15.797398679848039,Bromo
666670.9810175432,9100079.763139082,0.8544080630694729,1,625.7556221363965,4.305371640928769,-3.305371640928769,-5.282208459660143,32.26685918793794,Kelud
691655.4331258535,9100079.763139082,0.8169510732318417,1,625.7556221363965,4.11662545655623,-3.11662545655623,-4.980579233017098,20.379580325696807,Semeru
716639.885234164,9100079.763139082,0.5867860093570213,2,625.7556221363936,2.956821164472162,-0.9568211644721618,-1.5290652302978542,5.804446014255983,Semeru
730373.6699513702,9100079.763139082,0.842803867520004,1,62.882305165669244,4.246897971737269,-3.246897971737269,-51.634525216323034,18.85886935885118,Semeru
666670.9810175432,9084736.550525328,0.8629323912500106,0,143.4023300729281,4.348325824524147,-4.348325824524147,-30.322560465459524,44.56973431000346,Kelud
691655.4331258535,9084736.550525328,0.8007852436845094,0,143.4023300729281,4.035165663404075,-4.035165663404075,-28.138773347350547,27.356440569448612,Semeru
716639.885234164,9084736.550525328,0.6430243976694389,0,143.4023300729274,3.2402070226322275,-3.2402070226322275,-22.595218787480068,19.150434457490977,Semeru
730373.6699513702,9084736.550525328,0.6735802986732036,0,14.410528267132927,3.394178544356899,-3.394178544356899,-235.53463699857784,26.243180064017803,Semeru
