cfg_seed,decay_m,max_road_dist_m,min_accept_prob,n_presences,n_pseudoabsences,pa_road_mean_m,pa_road_median_m,pa_accept_mean,xgb_mean_auc,xgb_std_auc,xgb_mean_tss,rf_mean_auc,rf_std_auc,rf_mean_tss,best_auc
446,12000.0,20000.0,0.03,378,1890,509.3289189898779,154.83712768554688,0.9618670166305258,0.7297844127493203,0.08470811374337238,0.4204199601785043,0.7244176011570447,0.08073944707709346,0.41322376074589673,0.7297844127493203
648,12000.0,60000.0,0.03,378,1890,604.4210227855299,153.3189697265625,0.9562404320039791,0.7230365021735911,0.07422505736129269,0.4389654783479031,0.7162248019388835,0.06834912891079571,0.41102142999689706,0.7230365021735911
850,16000.0,40000.0,0.03,378,1890,621.6550878111017,153.3189697265625,0.9655544626274531,0.7191558953300732,0.07680393731367517,0.45547622823367107,0.7102492766975914,0.0682251254973433,0.411478937152987,0.7191558953300732
244,8000.0,40000.0,0.03,378,1890,482.05364543470756,153.3189697265625,0.9483752762012856,0.7167658327823828,0.07150755832468701,0.40678434524721513,0.7127041397881475,0.07715372440559545,0.40955103143531557,0.7167658327823828
951,16000.0,60000.0,0.03,378,1890,602.1215142941348,153.3189697265625,0.9659844345547276,0.71531849032929,0.08273156252121874,0.43097205007686445,0.7124526779454016,0.08407418903041008,0.4261894641770666,0.71531849032929
345,8000.0,60000.0,0.03,378,1890,492.89132923953747,137.13265991210938,0.9477150577402901,0.7138687869922195,0.07258184286643057,0.4102190715142309,0.711622273963149,0.07359037987902178,0.41883417088249136,0.7138687869922195
749,16000.0,20000.0,0.03,378,1890,518.7500348207182,153.3189697265625,0.97033182846633,0.7131858583572152,0.0863507188125194,0.417472141614896,0.7114756328637754,0.07463343690655719,0.4008941428513875,0.7131858583572152
143,8000.0,20000.0,0.03,378,1890,483.4365173864617,153.3189697265625,0.9484178291438694,0.7061475604030054,0.08277490919928354,0.4074331927733934,0.709432838490791,0.06766434221374654,0.3950171780306741,0.709432838490791
547,12000.0,40000.0,0.03,378,1890,489.9778277906791,137.13265991210938,0.9635353487112548,0.7092204835700758,0.05722957905286793,0.38837235419899924,0.7073857796931069,0.059107650147566415,0.4030200890035786,0.7092204835700758
1254,20000.0,60000.0,0.03,378,1890,595.9471569031003,153.3189697265625,0.972778809056436,0.7064340014788787,0.07115049578330701,0.4022911332042609,0.7085031186225377,0.06469306120578128,0.41527030790850344,0.7085031186225377
1153,20000.0,40000.0,0.03,378,1890,626.6092447109323,153.3189697265625,0.9715517285064393,0.7080766099872531,0.0771296495465586,0.40342481040371875,0.7042653477804193,0.06246078769677835,0.41841073619970554,0.7080766099872531
1052,20000.0,20000.0,0.03,378,1890,626.4261194481421,156.35528564453125,0.9714282878594396,0.6961266575787006,0.0663862280944019,0.38062944113172603,0.6989082186912549,0.06401862526005418,0.3938250523967891,0.6989082186912549
