concept,n_languages,languages
to hit,6,Bugis|Makassar|Muna|Tolaki|Toraja-Sadan|Wolio
to see,5,Makassar|Muna|Tolaki|Toraja-Sadan|Wolio
rope,5,Bugis|Makassar|Muna|Tolaki|Wolio
One Thousand,5,Makassar|Muna|Tolaki|Toraja-Sadan|Wolio
to say,5,Bugis|Makassar|Tolaki|Toraja-Sadan|Wolio
to hold,5,Bugis|Makassar|Tolaki|Toraja-Sadan|Wolio
to yawn,4,Bugis|Makassar|Muna|Wolio
"to tie up, fasten",4,Makassar|Muna|Tolaki|Toraja-Sadan
red,4,Bugis|Makassar|Muna|Tolaki
to hide,4,Bugis|Muna|Tolaki|Wolio
below,4,Muna|Tolaki|Toraja-Sadan|Wolio
to stand,4,Bugis|Makassar|Tolaki|Toraja-Sadan
to steal,4,Bugis|Makassar|Tolaki|Toraja-Sadan
"dull, blunt",4,Bugis|Makassar|Toraja-Sadan|Wolio
cloud,4,Bugis|Makassar|Tolaki|Wolio
to blow,4,Bugis|Tolaki|Toraja-Sadan|Wolio
heavy,4,Bugis|Tolaki|Toraja-Sadan|Wolio
where?,4,Bugis|Makassar|Tolaki|Wolio
they,4,Bugis|Makassar|Tolaki|Wolio
if,4,Bugis|Makassar|Toraja-Sadan|Wolio
to come,4,Makassar|Tolaki|Toraja-Sadan|Wolio
to sit,4,Makassar|Tolaki|Toraja-Sadan|Wolio
Twenty,4,Makassar|Tolaki|Toraja-Sadan|Wolio
Fifty,4,Makassar|Tolaki|Toraja-Sadan|Wolio
back,3,Bugis|Muna|Tolaki
intestines,3,Muna|Toraja-Sadan|Wolio
to bite,3,Muna|Tolaki|Wolio
wife,3,Muna|Tolaki|Wolio
to hunt,3,Bugis|Muna|Toraja-Sadan
"to cut, hack",3,Muna|Tolaki|Wolio
to flow,3,Muna|Tolaki|Wolio
wet,3,Bugis|Muna|Tolaki
and,3,Bugis|Muna|Tolaki
how?,3,Makassar|Muna|Tolaki
to lie down,3,Bugis|Tolaki|Toraja-Sadan
thatch/roof,3,Bugis|Makassar|Wolio
to split,3,Bugis|Makassar|Wolio
"to open, uncover",3,Bugis|Makassar|Tolaki
to throw,3,Bugis|Makassar|Toraja-Sadan
to fly,3,Bugis|Tolaki|Wolio
rotten,3,Bugis|Makassar|Toraja-Sadan
grass,3,Bugis|Tolaki|Toraja-Sadan
salt,3,Bugis|Makassar|Tolaki
warm,3,Bugis|Makassar|Tolaki
small,3,Bugis|Makassar|Tolaki
narrow,3,Bugis|Makassar|Tolaki
near,3,Bugis|Tolaki|Wolio
who?,3,Bugis|Tolaki|Toraja-Sadan
Eight,3,Bugis|Makassar|Tolaki
to breathe,3,Makassar|Tolaki|Wolio
to spit,3,Makassar|Tolaki|Toraja-Sadan
to chew,3,Makassar|Tolaki|Wolio
leaf,3,Makassar|Tolaki|Wolio
big,3,Makassar|Tolaki|Wolio
that,3,Makassar|Tolaki|Wolio
"no, not",3,Makassar|Tolaki|Toraja-Sadan
One Hundred,3,Makassar|Tolaki|Wolio
to sleep,3,Tolaki|Toraja-Sadan|Wolio
to sew,3,Tolaki|Toraja-Sadan|Wolio
to turn,2,Muna|Wolio
to cook,2,Makassar|Muna
husband,2,Muna|Tolaki
to plant,2,Muna|Tolaki
to swell,2,Muna|Wolio
worm (earthworm),2,Muna|Tolaki
to count,2,Muna|Tolaki
"to stab, pierce",2,Bugis|Makassar
to squeeze,2,Bugis|Makassar
to fall,2,Bugis|Tolaki
meat/flesh,2,Bugis|Tolaki
short,2,Bugis|Toraja-Sadan
good,2,Bugis|Tolaki
leg/foot,2,Makassar|Toraja-Sadan
"to sniff, smell",2,Makassar|Tolaki
to cry,2,Makassar|Tolaki
to vomit,2,Makassar|Tolaki
to dream,2,Makassar|Tolaki
"to live, be alive",2,Makassar|Tolaki
to grow,2,Makassar|Tolaki
to dig,2,Makassar|Tolaki
egg,2,Makassar|Tolaki
wing,2,Makassar|Tolaki
water,2,Makassar|Tolaki
sea,2,Makassar|Wolio
fire,2,Makassar|Wolio
black,2,Makassar|Tolaki
white,2,Makassar|Tolaki
green,2,Makassar|Tolaki
"bad, evil",2,Makassar|Tolaki
to drink,2,Tolaki|Wolio
name,2,Tolaki|Wolio
mosquito,2,Toraja-Sadan|Wolio
woods/forest,2,Tolaki|Wolio
dry,2,Tolaki|Wolio
to burn,2,Tolaki|Wolio
wide,2,Tolaki|Wolio
"painful, sick",2,Tolaki|Wolio
this,2,Tolaki|Wolio
other,2,Toraja-Sadan|Wolio
Six,2,Toraja-Sadan|Wolio
mouth,2,Tolaki|Toraja-Sadan
cold,2,Tolaki|Toraja-Sadan
Ten,2,Tolaki|Toraja-Sadan
road/path,1,Muna
lake,1,Muna
to walk,1,Bugis
belly,1,Bugis
hair,1,Bugis
ear,1,Bugis
woman/female,1,Bugis
fat/grease,1,Bugis
thick,1,Bugis
dirty,1,Makassar
dust,1,Makassar
skin,1,Makassar
nose,1,Makassar
father,1,Makassar
dog,1,Makassar
bird,1,Makassar
fish,1,Makassar
fruit,1,Makassar
when?,1,Makassar
head,1,Wolio
needle,1,Wolio
to scratch,1,Wolio
rat,1,Wolio
tail,1,Wolio
root,1,Wolio
sky,1,Wolio
rain,1,Wolio
lightning,1,Wolio
ashes,1,Wolio
"in, inside",1,Wolio
to swim,1,Toraja-Sadan
to think,1,Toraja-Sadan
child,1,Toraja-Sadan
One,1,Toraja-Sadan
shoulder,1,Tolaki
"to know, be knowledgeable",1,Tolaki
to fear,1,Tolaki
neck,1,Tolaki
to laugh,1,Tolaki
to hear,1,Tolaki
person/human being,1,Tolaki
man/male,1,Tolaki
house,1,Tolaki
stick/wood,1,Tolaki
sharp,1,Tolaki
to work,1,Tolaki
to choose,1,Tolaki
to buy,1,Tolaki
"to pound, beat",1,Tolaki
feather,1,Tolaki
flower,1,Tolaki
star,1,Tolaki
wind,1,Tolaki
yellow,1,Tolaki
long,1,Tolaki
"shy, ashamed",1,Tolaki
old,1,Tolaki
new,1,Tolaki
"correct, true",1,Tolaki
night,1,Tolaki
day,1,Tolaki
to climb,1,Tolaki
above,1,Tolaki
far,1,Tolaki
I,1,Tolaki
thou,1,Tolaki
he/she,1,Tolaki
you,1,Tolaki
what?,1,Tolaki
all,1,Tolaki
Four,1,Tolaki
