site_id,name,type,lat,lon,burial_depth_m,burial_material,age_construction,age_burial_event,dist_to_volcano_km,volcano,province,source,source_type,notes
BUR001,Sambisari Temple,hindu_temple,-7.752,110.474,5.0,volcanic_ash_lahar,,~900 CE eruption,28,Merapi,DIY,"Wikipedia; Newhall et al. 2000",open_access,"Discovered 1966 by farmer. 9th century temple buried 5-6m under Merapi deposits."
BUR002,Kedulan Temple,hindu_temple,-7.748,110.478,7.0,fluvio_volcanic,,~900 CE eruption,28,Merapi,DIY,"Wikipedia; ResearchGate georadar study",open_access,"Discovered 1993 by sand diggers. 14 sediment layers, 8m total. Outer fence at 7m depth."
BUR003,Dwarapala Singosari,statue,-7.888,112.638,1.85,volcanic_sediment,1268 CE,cumulative to 1803 CE,17,Arjuno-Welirang,East Java,"Amien 2026a (VOLCARCH P1)",own_data,"Photographed 1860 half-buried. Rate: 3.6 mm/yr. Total height 370cm."
BUR004,Borobudur (Lake sediment),buddhist_temple,-7.608,110.204,0,lacustrine_volcanic,~800 CE,,35,Merapi,Central Java,"Newhall et al. 2000; Murwanto et al.",open_access,"Not buried but built on lake sediment impounded by Merapi debris avalanche ~3400 BP. Indicator of landscape modification."
BUR005,Sangiran Pedotype 1 (Kalibeng),paleosol,-7.418,110.828,40.0,volcanic_lahar,,,45,Lawu,Central Java,"Bettis et al. 2004 (Palaeo3)",academia.edu,"Oldest pedotype. Dark humic clay with root traces between laharic breccias. Early Pleistocene."
BUR006,Sangiran Pedotype 2 (Pucangan lower),paleosol,-7.418,110.828,30.0,volcanic_marine,,,45,Lawu,Central Java,"Bettis et al. 2004 (Palaeo3)",academia.edu,"Marine-influenced paleosol. Black clay with organic matter."
BUR007,Sangiran Pedotype 3 (Pucangan upper),paleosol,-7.418,110.828,20.0,volcanic_lacustrine,,,45,Lawu,Central Java,"Bettis et al. 2004 (Palaeo3)",academia.edu,"Lacustrine paleosol. Associated with H. erectus immigration timeframe."
BUR008,Sangiran Pedotype 4 (Grenzbank),paleosol,-7.418,110.828,15.0,volcanic_fluvial,,,45,Lawu,Central Java,"Bettis et al. 2009 (J Hum Evol)",researchgate,"Grenzbank zone. Key transition layer. H. erectus fossils associated."
BUR009,Sangiran Pedotype 5-8 (Kabuh),paleosol,-7.418,110.828,8.0,volcanic_fluvial,,,45,Lawu,Central Java,"Bettis et al. 2009 (J Hum Evol)",researchgate,"Upper pedotypes. Progressive drying signal. Carbon isotope shift."
BUR010,Merapi stratigraphic section (Newhall),volcanic_sequence,-7.541,110.446,0,pyroclastic,,,0,Merapi,Central Java,"Newhall et al. 2000 (JVGR)",usgs,"10000-year record. Multiple buried surfaces between pyroclastic layers. Oldest: 9630±60 BP."
BUR011,Kelud stratigraphic section,volcanic_sequence,-7.934,112.308,32.0,pyroclastic_fallout_pdc,,,0,Kelud,East Java,"Kelud 2022 study (JVGR)",sciencedirect,"1300-year record. 10 bed-sets, 12 fallouts, 10 PDC units. 32m total volcanic deposits."
BUR012,Liangan Temple,buddhist_settlement,-7.332,110.341,4.0,pyroclastic_surge,,~900 CE,15,Sundoro,Central Java,"Journals OpenEdition (Archipel)",open_access,"Discovered 2008. Preserved Mataram-era settlement. Pyroclastic surge from Sundoro volcano."
BUR013,Dieng Temple Complex,hindu_temple,-7.206,109.906,2.0,volcanic_lahar,~700 CE,,5,Dieng Plateau,Central Java,"General knowledge; archaeological literature",open_access,"Multiple temples partially buried by lahars. Active geothermal area."
BUR014,Semarang subsidence boreholes,geotechnical,-6.966,110.419,0,alluvial_volcanic,,,80,Ungaran,Central Java,"Tandfonline open access study",open_access,"Multiple boreholes to 80-100m. Quaternary alluvium over volcanic basement. SPT data available."
BUR015,East Java soft soil study,geotechnical,-7.5,112.7,0,volcanic_alluvial,,,40,Various,East Java,"ResearchGate 2019",researchgate,"SPT<10 to 15.5m depth. High organic matter content in some layers."
BUR016,Surabaya N-SPT study,geotechnical,-7.25,112.75,0,alluvial_marine,,,60,Arjuno,East Java,"ResearchGate earthquake hazard",researchgate,"Multiple boreholes. Soft clay and silt 0-10m. Vs30 profiles."
BUR017,Purwosari bridge bore log,geotechnical,-8.0,112.5,15.0,volcanic_alluvial,,,25,Semeru,East Java,Scribd,scribd,"Bore log from infrastructure project. SPT data to 15m."
BUR018,Taman Sari Malang bore log,geotechnical,-7.98,112.63,15.0,volcanic_alluvial,,,20,Arjuno-Welirang,East Java,Scribd,scribd,"Bore log from Malang area. 15m depth."
BUR019,Candi Ijo,hindu_temple,-7.775,110.512,1.5,volcanic_ash,~850 CE,,30,Merapi,DIY,"Archaeological literature",open_access,"Highest temple on Prambanan plateau. Partial burial by ash deposits. 9th century."
BUR020,Candi Morangan,hindu_temple,-7.631,110.394,3.5,volcanic_lahar,,~900 CE eruption,20,Merapi,Central Java,"Tjahjono 2003; BPA Jogja reports",open_access,"Discovered 2002 during sand mining. 3.5m burial under lahar deposits. Similar age to Sambisari/Kedulan."
BUR021,Candi Kadisoka,hindu_temple,-7.766,110.480,3.0,volcanic_sediment,,~900 CE eruption,29,Merapi,DIY,"Wikipedia; BPA Jogja",open_access,"Discovered 1966 near Sambisari. 3m burial. 9th century Hindu temple."
BUR022,Candi Kimpulan,hindu_temple,-7.753,110.363,2.0,volcanic_sediment,,~900 CE eruption,25,Merapi,DIY,"UII campus discovery 2009",open_access,"Discovered during campus construction. Two temple structures buried 2m."
BUR023,Lusi mud volcano (Sidoarjo),geotechnical,-7.527,112.712,0,alluvial_volcanic,,,35,Arjuno-Welirang,East Java,"Numerous geological studies",open_access,"Multiple deep boreholes. Quaternary volcanic sediments over Miocene carbonate. >1000m stratigraphic record."
BUR024,Pleret (Mataram Sultanate),settlement,-7.867,110.398,2.5,volcanic_fluvial,1647 CE,,28,Merapi,DIY,"Archaeological literature",open_access,"17th century kraton of Sultan Agung. Partially buried by Opak river flooding + volcanic sediment."
BUR025,Candi Pendem (Tegalrejo),hindu_temple,-7.615,110.358,4.0,volcanic_lahar,~800 CE,,18,Merapi,Central Java,"BPA Jogja; Tjahjono",open_access,"Name means 'buried temple'. Discovered under 4m lahar deposit. Near Borobudur."
