seed,region_blend,hard_frac_target,hard_frac_actual,n_presences,n_pseudoabsences,pa_road_mean_m,pa_zdist_mean,xgb_mean_auc,xgb_std_auc,xgb_mean_tss,xgb_std_tss,rf_mean_auc,rf_std_auc,rf_mean_tss,rf_std_tss,xgb_mvr_pass,rf_mvr_pass
22830,0.0,0.3,0.6227513227513227,378,1890,482.0855677387702,2.302169411725658,0.7742397970969346,0.0722541969440977,0.48681308771012066,0.14296791544467802,0.7467257643262879,0.06317491763291111,0.46987350527380495,0.13256975199486581,1,0
25916,0.0,0.3,0.6206349206349207,378,1890,490.17197323047293,2.316402337551747,0.7741694484435158,0.05454197513755429,0.5001640471142585,0.1306008754441036,0.7595744709898035,0.07411905302216097,0.4857387186163476,0.1393744640572479,1,1
375,0.0,0.3,0.6190476190476191,378,1890,433.8817663687247,2.3330287950627717,0.7683274718090318,0.06945780607056873,0.5071691403363339,0.1666511136144421,0.7418760566615134,0.0699586178242535,0.45777043685285734,0.12592667359010826,1,0
36226,0.0,0.3,0.6132275132275132,378,1890,447.5931318626202,2.3018338805004803,0.7667446179122779,0.05204390791753767,0.4858894968225652,0.13064692794926208,0.7586519684152488,0.07214885306547428,0.4642481812173898,0.14887984305518706,1,1
39446,0.0,0.3,0.6227513227513227,378,1890,511.38740052319076,2.3198002587256634,0.759401658207816,0.05215253055809716,0.46535854118581677,0.11854890269857497,0.7539872101784798,0.08582551984496375,0.44584558776880445,0.16645335478752865,1,1
26138,0.0,0.3,0.6095238095238096,378,1890,453.92663223629904,2.311692863803007,0.7551388202716154,0.05864552376633425,0.4577003218129879,0.12693436783308487,0.7335006929601676,0.07193502425412865,0.44603005133418794,0.12830200841435518,1,0
32581,0.0,0.3,0.6169312169312169,378,1890,475.6115298346868,2.3128216179741714,0.7533938803609015,0.07631315495234832,0.47219169892348917,0.14586762416345095,0.7475179785420021,0.07516858566504653,0.46604194329617715,0.14560924409862025,1,0
27291,0.0,0.3,0.6354497354497355,378,1890,482.43882052305514,2.3569226993148686,0.7531874857097209,0.039464071440616345,0.46277311553727785,0.09074314877111114,0.7545297209216055,0.06807600108177467,0.44536695813409033,0.133919610572426,1,1
44036,0.0,0.3,0.6222222222222222,378,1890,438.73586469075036,2.2939192975457554,0.7522316659281035,0.054487136098116784,0.4664983234920436,0.11662618427091656,0.7413167667079714,0.074164826376105,0.44818278624404984,0.1397913089240942,1,0
8971,0.0,0.3,0.6238095238095238,378,1890,542.3886250218386,2.349227488105986,0.7519831150014958,0.048693277016847406,0.4779353063485289,0.13037762719465787,0.7616830436002145,0.08263570619570684,0.4940370943428877,0.15932992707472882,1,1
5621,0.0,0.3,0.6142857142857143,378,1890,476.81004636350764,2.319136516554551,0.7516198889923109,0.06573222834312835,0.4759788672990486,0.14014482562396136,0.7429688681843216,0.06330234614621098,0.45396050594403387,0.14062449837228624,1,0
39691,0.0,0.3,0.6148148148148148,378,1890,491.8735253964782,2.330349444456516,0.7490006961262734,0.05990517006448457,0.46041424229298133,0.14114153685286415,0.742014320663328,0.0745658502165291,0.4608293249983787,0.15465239482456244,0,0
41432,0.0,0.3,0.6111111111111112,378,1890,530.0129284086681,2.315160183944322,0.7428899989071833,0.059968350681677336,0.45888860463167935,0.14364608251237077,0.744843791495956,0.07331242792978952,0.4692757405037087,0.14642520797503578,0,0
10883,0.0,0.3,0.6005291005291006,378,1890,489.20113708052054,2.317531195614338,0.742475015402707,0.0714243067652952,0.45070158332512394,0.16561953811560934,0.7391973085729345,0.08214250813418258,0.45610427578994284,0.16026671070884294,0,0
11903,0.0,0.3,0.6042328042328042,378,1890,492.0421173781945,2.3214353303774327,0.7423242573747395,0.06316660497096224,0.4378268514056753,0.1231803238652084,0.730370216483983,0.07785883444403595,0.43761126789428334,0.14210543850034077,0,0
33850,0.0,0.3,0.6116402116402117,378,1890,448.580725428667,2.325564759905893,0.7403873139437441,0.07513040302745964,0.47356851719918447,0.15121089748831507,0.732770562487119,0.08316946028960902,0.45863760525832103,0.15384836951588782,0,0
41287,0.0,0.3,0.6158730158730159,378,1890,465.8726283855539,2.2989890353227116,0.7387013742314756,0.045671322354011785,0.44076469482948166,0.10984346007909036,0.7493675924652379,0.07330155195286456,0.4581775552528615,0.15080058740189892,0,0
17010,0.0,0.3,0.608994708994709,378,1890,468.724720791408,2.2823623673867033,0.7377017050711574,0.062335535550806315,0.4575486251747279,0.12642004078227423,0.7311298434210698,0.08029615117831927,0.42445579306131503,0.16255738198132288,0,0
20828,0.0,0.3,0.6148148148148148,378,1890,471.9359357379732,2.3323830421503686,0.7354581802563157,0.0670928067957224,0.4349275980889343,0.13993091762715532,0.7420145342119131,0.07173733195012888,0.4570014734363278,0.1331965267818483,0,0
21924,0.0,0.3,0.608994708994709,378,1890,494.5716487218463,2.313675992167765,0.7285909030288924,0.06905322778319115,0.43146827133708854,0.1368697895588425,0.7334434356694235,0.07687155465870278,0.4537841058609634,0.1446852085113343,0,0
